message_text,author_id,label
work assignment complete aachu,96473e40183c48e38ee7cf8884ed86c5,nonpredator
happy birthday da,781aa9ca9e9f469cb530b110d9b7f3fb,nonpredator
send me ur pic da,bea107d9781b4169931adb2b9aeb708d,predator
unda unakku chance irukku,2443b4e969494f34bc480832e025b8d7,predator
today weather romba nalla irukku,9d70f75478ca4d5183ce1348e3962ba5,nonpredator
unga support nala iruku,8c40788bd45e4fce83d96fb69fdd4a22,nonpredator
happy birthday da,c0ea88b2a3b04e939958497ea8442f47,nonpredator
enna da unaku pidichu irukku,731eaa898e2b4e548b0721159f3e6c34,predator
nee illama enakku life la varathu,69d15f61cf43448b9b2d6c1df729dac2,predator
unda unakku chance irukku,e24020dee05344558bd1f95c4671cc8a,predator
today weather romba nalla irukku,9dc1d16efa1541268bca85cb9542f5f3,nonpredator
unda unakku chance irukku,24f6a9aa6c864362a6bbef38b1354b71,predator
"nalla panra, idhu enakku pidichuthu",eb9b2204a3934d0690b1437de08fa967,nonpredator
let's meet in college tomorrow,69af53b80d4f458ab4ea83098ef2488a,nonpredator
unda unakku chance irukku,6185ab48408d421a89d4f8158e19dde5,predator
dei why are you ignoring me?,c39e930802d841ad94b924318883776e,predator
work assignment complete aachu,0c48cae1c26c4e96843092b4878277c7,nonpredator
thank you da,b3a6f3abaa6e4070a291661809960854,nonpredator
today weather romba nalla irukku,6ca3239fd6434969afb57249cafe773c,nonpredator
I like un attitude da,ad15e23c91b5407791a2b08072443118,predator
unda unakku chance irukku,a637334c9fe545a5bb0522db8beb1288,predator
happy birthday da,54fa1543eae14aabbc647587eed05860,nonpredator
call me when free,2298835e636f43408fc3f64a0062596a,nonpredator
today weather romba nalla irukku,07153f2eed254bc48388507b37141475,nonpredator
thank you da,6e9c0988bd76430f9ae4036a0e265630,nonpredator
see you later da,c6217694c78843168d7b1585f06d02d2,nonpredator
call me when free,ffde2d26989940e3ae788387610a4431,nonpredator
miss u romba,1907f5931c08440dbe2d946f4e0fa81b,predator
today weather romba nalla irukku,32f5789fa2404f67b6aa42364329bb18,nonpredator
dei why are you ignoring me?,0597858c224142bbb43ad27034fca0f3,predator
thank you da,1fe005161b364e4fa3501165c20e3d0c,nonpredator
thalaiva un smile da,01471e3045d44f36ac531fd4aa73be09,predator
unda unakku chance irukku,7c2541f70ff842d8b1aa734feed5662e,predator
miss u romba,c438e545b14d4d58b912e50e75c0324e,predator
nee mattum dhan enakku special,0c3bbae7bb1148bea9ddcc05be39aea2,predator
see you later da,7f771aba7b2e44c4abbed2761fcddd1e,nonpredator
"nalla panra, idhu enakku pidichuthu",de2b99c7de2b46f79ba3729ca5614bed,nonpredator
I like un attitude da,a46c92de2a2d43a6ab438f7002895657,predator
nee illama enakku life la varathu,f22e1ff2dfba4c1486ca6448db92c143,predator
unga support nala iruku,3e8c7cf232024729af6ad6fd8bfdbbc8,nonpredator
let's meet in college tomorrow,bc4e260f2d5044e6a1760c2388648fd9,nonpredator
